Aggregating data for Patches: ['16.5', '16.4', '16.3', '16.2', '16.1'] and Tiers: ['emerald', 'diamond']...
Aggregation complete. Analyzed 10 files.


=== 0 - 15 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
--------------------------------------------------
1     heimerdinger         62.45%      687
2     kled                 61.09%     1362
3     illaoi               60.63%     1534
4     pyke                 60.29%     4251
5     fizz                 58.84%     3530
6     irelia               58.62%     3983
7     samira               58.61%     4040
8     zoe                  58.23%     2691
9     shaco                57.64%     3265
10    yorick               57.43%     2572
11    qiyana               57.42%     2109
12    aatrox               57.38%     5739
13    shen                 57.01%     2410
14    katarina             56.73%     5734
15    leblanc              56.67%     3289
16    vex                  56.28%     2134
17    naafiri              56.27%     2760
18    darius               56.10%     5251
19    elise                56.01%     1846
20    karma                55.81%     7300
21    evelynn              55.75%     1905
22    mordekaiser          55.45%     4247
23    warwick              55.42%     1808
24    leesin               55.36%     7597
25    renekton             55.33%     4390
26    kogmaw               55.11%     1185
27    tristana             55.06%     3104
28    trundle              54.89%      971
29    ksante               54.86%     2408
30    nilah                54.72%     1484
31    nunu                 54.58%     2215
32    reksai               54.57%     1541
33    tryndamere           54.54%     1971
34    sylas                54.43%     5056
35    jhin                 54.41%    10838
36    malphite             54.39%     4218
37    neeko                54.36%     1825
38    akali                54.32%     5453
39    hecarim              54.29%     2798
40    ivern                54.26%      868
41    velkoz               54.20%     2129
42    mel                  54.16%     3248
43    lux                  54.03%     3772
44    thresh               53.99%     9673
45    nautilus             53.96%     7254
46    akshan               53.85%     2002
47    pantheon             53.84%     1941
48    briar                53.73%     3603
49    morgana              53.63%     3582
50    sett                 53.60%     4300
51    zed                  53.46%     5649
52    seraphine            53.33%     3336
53    khazix               53.18%     7238
54    xerath               53.09%     3430
55    lucian               53.05%     7312
56    udyr                 52.99%     1353
57    olaf                 52.99%     1604
58    gnar                 52.97%     2643
59    rammus               52.95%     1460
60    kennen               52.94%     1785
61    soraka               52.81%     4064
62    ezreal               52.80%    11463
63    nocturne             52.79%     3260
64    viego                52.77%    10047
65    varus                52.67%     3860
66    amumu                52.65%     1871
67    jarvaniv             52.62%     4572
68    volibear             52.60%     3479
69    leona                52.53%     5216
70    caitlyn              52.52%    14125
71    anivia               52.44%     2395
72    masteryi             52.42%     3836
73    teemo                52.33%     1760
74    ziggs                52.30%     1260
75    urgot                52.30%     1847
76    nasus                52.25%     2936
77    draven               52.20%     3496
78    sion                 52.20%     2636
79    nidalee              52.20%     1343
80    rumble               52.13%     1782
81    jax                  51.98%     5154
82    cassiopeia           51.97%      937
83    lissandra            51.96%     2317
84    blitzcrank           51.92%     3625
85    kalista              51.90%      686
86    swain                51.80%     2197
87    tahmkench            51.77%     1526
88    yasuo                51.75%     7156
89    twitch               51.74%     4851
90    aurora               51.71%     2079
91    taric                51.64%     1036
92    diana                51.50%     6004
93    bard                 51.40%     4486
94    ahri                 51.29%     8514
95    xayah                51.28%     3042
96    garen                51.27%     4513
97    vayne                51.25%     5198
98    hwei                 51.17%     2306
99    lillia               51.01%     2072
100   nami                 50.97%    11590
101   ekko                 50.96%     5471
102   missfortune          50.88%     6403
103   wukong               50.86%     1988
104   kindred              50.79%     1573
105   zac                  50.75%     2337
106   fiora                50.69%     3184
107   graves               50.61%     5060
108   karthus              50.46%     1088
109   zyra                 50.40%     1980
110   fiddlesticks         50.40%     2137
111   ashe                 50.32%     5668
112   xinzhao              50.29%     3637
113   sivir                50.27%     5311
114   chogath              50.27%     1854
115   poppy                50.26%     1142
116   gragas               50.19%     1329
117   corki                50.16%     2576
118   brand                50.15%     2016
119   gangplank            50.13%     3750
120   rengar               50.12%     3446
121   lulu                 50.09%     7542
122   belveth              50.04%     1265
123   talon                50.04%     2668
124   jayce                49.99%     3407
125   kaisa                49.86%    12851
126   galio                49.81%     2614
127   rakan                49.76%     2697
128   braum                49.72%     6378
129   skarner              49.70%      330
130   smolder              49.68%     7470
131   twistedfate          49.63%     3349
132   janna                49.54%     3363
133   jinx                 49.41%    12135
134   ornn                 49.24%     3219
135   quinn                48.99%      741
136   sejuani              48.93%     1361
137   singed               48.73%     1699
138   ryze                 48.70%     3682
139   viktor               48.68%     4918
140   kayle                48.65%     3155
141   kayn                 48.65%     4002
142   alistar              48.63%     3253
143   riven                48.56%     3379
144   camille              48.48%     2003
145   aphelios             48.47%     6875
146   zeri                 48.11%     1669
147   ambessa              48.06%     2990
148   drmundo              48.04%     2760
149   yunara               47.82%     6316
150   maokai               47.62%     1218
151   vi                   47.57%     3231
152   zaahen               47.54%     4281
153   yuumi                47.42%     3695
154   senna                47.39%     3442
155   rell                 47.36%     1854
156   milio                47.27%     6152
157   vladimir             47.18%     2408
158   renata               47.14%      874
159   orianna              47.06%     3610
160   syndra               46.83%     4452
161   zilean               46.32%     2187
162   gwen                 46.04%     2687
163   veigar               45.82%     3221
164   shyvana              45.80%      880
165   yone                 45.70%     3961
166   malzahar             45.69%     4555
167   kassadin             45.39%     3133
168   annie                44.84%     1124
169   aurelionsol          44.24%     2075
170   taliyah              44.15%     1538
171   sona                 43.65%     4603
172   azir                 41.52%     1515

=== 15 - 20 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
--------------------------------------------------
1     katarina             60.75%    71434
2     zoe                  60.01%    36139
3     pyke                 59.99%    53448
4     evelynn              59.65%    20860
5     kled                 59.63%    16974
6     illaoi               59.43%    18323
7     velkoz               59.24%    20712
8     leblanc              58.75%    44205
9     kogmaw               58.72%    11674
10    fizz                 58.64%    37090
11    heimerdinger         58.41%     8469
12    irelia               58.10%    49042
13    naafiri              58.03%    35706
14    yorick               57.40%    32957
15    qiyana               57.12%    25014
16    warwick              56.99%    17873
17    akali                56.63%    74556
18    shen                 56.61%    29919
19    reksai               56.60%    24352
20    leesin               56.57%   129697
21    shaco                56.40%    31260
22    nasus                56.26%    33582
23    akshan               56.15%    24000
24    hecarim              56.12%    35097
25    zed                  55.97%    65491
26    elise                55.90%    23687
27    samira               55.83%    46004
28    briar                55.81%    36434
29    lux                  55.70%    40469
30    xerath               55.65%    40310
31    nunu                 55.64%    26521
32    fiddlesticks         55.62%    20466
33    smolder              55.20%    70441
34    vex                  55.19%    27259
35    ziggs                55.06%    13592
